序号,优先级,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,定位标题,PDF页码,书内索引页码,页码类型,定位方法,原文片段文件
1,P0,第1章 解表剂,桂枝汤,《伤寒论》,桂枝去皮，三两（9g） 芍药三两（9g） 甘草炙，二两（6g） 生姜切，三两（9g） 大枣擘， 十二枚（6g）,上五味， 咀，以水七升，微火煮取三升，适寒温，服一升。服已须臾，啜热稀粥一升余，以助药力。温覆令一时许，遍身 微似有汗者益佳，不可令如水流漓，病必不除。若一服汗出病瘥，停后服，不必尽剂；若不汗，更服如前法；又不汗，后服小促其间，半日许，令三服尽。若病重者，一日一夜服，周时观之，服一剂尽，病证犹在者，更作服；若汗不出，乃服至二三剂。禁生冷、黏滑、肉面、五辛、酒酪、臭恶等物（现代用法：水煎服，温覆取微汗）。,解肌发表，调和营卫。,外感风寒表虚证。恶风发热，汗出头痛，鼻鸣干呕，苔白不渴，脉浮缓或浮弱。,方中桂枝辛温，助卫阳，通经络，解肌发表而祛在表之风寒，为君药。芍药酸甘而凉，益阴敛营，敛固外泄之营阴，为臣药。桂枝、芍药等量配伍，既营卫同治，邪正兼顾，相辅相成；又散中有收，汗中寓补，相反相成。生姜辛温，助桂枝散表邪，兼和胃止呕；大枣甘平，协芍药补营阴，兼健脾益气。生姜、大枣相配，补脾和胃，化气生津，益营助卫，共为佐药。炙甘草调和药性，合桂枝辛甘化阳以实卫，合芍药酸甘化阴以益营，功兼佐使之用。药虽五味，但配伍严谨，发中有补，散中有收，营……,辛散与酸收相配，散中有收，汗不伤正；助阳与益阴同用，阴阳兼顾，营卫并调。,温覆令一时许，遍身 微似有汗者益佳，不可令如水流漓，病必不除。 禁生冷、黏滑、肉面、五辛、酒酪、臭恶等物（现代用法：水煎服，温覆取微汗）。 至于服后汗出病瘥，停后服； 以及禁生冷黏腻、酒肉、臭恶等，尤其是“不可令如水流漓，病必不除”等均为服解表剂应该注意之通则。,P.27,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.78；书内索引页码 P.27,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,桂枝汤,P.78,P.27,PDF页码+书内索引页码,索引页码定位,D1_formula_snippets\001_桂枝汤.txt
2,P0,第1章 解表剂,麻黄汤,《伤寒论》,麻 黄去节，三两（9g） 桂枝去皮，二两（6g） 杏仁去皮尖，七十个（9g） 甘草炙，一两（3g）,上四味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取二升半，去滓，温服八合。覆取微似汗，不须啜粥，余如桂枝法将息（现代用法：水煎服，温覆取微汗）。,发汗解表，宣肺平喘。,外感风寒表实证。恶寒发热，头身疼痛，无汗而喘，舌苔薄白，脉浮紧。,方中麻黄辛温，主入肺经，为发汗之峻剂，既开腠理、透毛窍，发汗以祛在表之风寒；又开宣肺气，宣散肺经风寒而平喘，为君药。风寒外束，卫闭营郁，仅以麻黄开表散寒，恐难解营郁之滞，遂臣以辛温而甘之桂枝解肌发表，通达营卫，既助麻黄发汗散寒之力，又可温通营卫之郁。麻黄、桂枝相须为用，发汗之力较强，可使风寒去而营卫和。肺主宣降，肺气郁闭，宣降失常，故又佐以杏仁利肺平喘，与麻黄相伍，一宣一降，以复肺气宣降之权而平喘，又使邪气去而肺气和。使以炙甘草，既调和……,麻桂相须，开腠畅营；麻杏相使，宣降相宜。,本方为辛温发汗之峻剂，当中病即止，不可过服。 柯琴指出：“此乃纯阳之剂，过于发散，如单刀直入之将，投之恰当，一战成功，不当则不戢而招祸。 故用之发表，可一而不可再。 ”（《伤寒来苏集》）对于“疮家”“淋家”“衄家”“亡血家”，以及外感表虚自汗、血虚而脉兼“尺中迟”、或误下而见“身重心悸”等，虽有表寒证，亦皆应禁用。,P.23,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.73；书内索引页码 P.23,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,麻黄汤,P.73,P.23,PDF页码+书内索引页码,索引页码定位,D1_formula_snippets\002_麻黄汤.txt
3,P0,第1章 解表剂,九味羌活汤,张元素方，录自《此事难知》,羌活（9g） 防风（9g） 苍术（9g） 细辛（3g） 川芎（6g） 香白芷（6g） 生地黄（6g） 黄芩（6g） 甘草（6g）（原著本方无用量）,上 咀，水煎服。若急汗，热服，以羹粥投之；若缓汗，温服，而不用汤投之（现代用法：水煎服）。,发汗祛湿，兼清里热。,外感风寒湿邪，内有蕴热证。恶寒发热，无汗，头痛项强，肢体酸楚疼痛，口苦微渴，舌苔白或微黄，脉浮或浮紧。,方中羌活辛苦性温，气味雄烈，入太阳经，功擅解表寒，祛风湿，利关节，止痹痛，故为君药。防风辛甘性温，功善祛风，并能胜湿止痛；苍术辛苦而温，入太阴经，功善燥湿，并能祛风散寒，共助君药祛风散寒，除湿止痛，为臣药。细辛、白芷、川芎俱能祛风散寒。其中细辛主入少阴经，尤能止痛；白芷主入阳明经，兼可燥湿；川芎主入少阳、厥阴经，行气活血，宣痹止痛。此三味助君臣药祛风寒湿邪以除病因，畅行气血以解疼痛，共为佐药。生地、黄芩清泄里热，并防诸辛温燥烈之品助热伤……,主以辛温，少佐寒凉，六经分治。,,P.29,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.81；书内索引页码 P.29,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,九味羌活汤,P.81,P.29,PDF页码+书内索引页码,索引页码定位,D1_formula_snippets\003_九味羌活汤.txt
4,P0,第1章 解表剂,香苏散,《太平惠民和剂局方》,香附子炒香，去毛 紫苏叶各四两（12g） 甘草炙，一两（3g） 陈皮不去白，二两（6g）,上为粗末。每服三钱（9g），水一盏，煎七分，去滓，热服，不拘时候，日三服。若作细末，只服二钱（6g），入盐点服（现代用法：作汤剂，水煎服）。,疏散风寒，理气和中。,外感风寒，气郁不舒证。恶寒身热，头痛无汗，胸脘痞闷，不思饮食，舌苔薄白，脉浮。,本方苏叶辛温，归肺、脾二经，既可解表散寒，又能理气宽中，一药两用，切中病机，用为君药。香附辛苦甘平，行气解郁，是为臣药。君臣相伍，苏叶得香附之助，则调畅气机之功著；香附借苏叶之升散，则可上行外达以祛邪，此即李时珍所谓香附生用“则上行胸膈，外达皮肤……得紫苏、葱白则能解散邪气。”（《本草纲目》卷十四）胸脘痞闷，虽因于气郁，但亦与湿滞有关，故佐用陈皮理气燥湿，一可助君臣行气以除气滞，二可燥湿以针对气滞所致津停。甘草健脾和中，与香附、陈皮相合……,辛温疏表与理气行滞相伍，表里同治，重在解表。,,P.30,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.83；书内索引页码 P.30,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,香苏散,P.83,P.30,PDF页码+书内索引页码,索引页码定位,D1_formula_snippets\004_香苏散.txt
5,P0,第1章 解表剂,小青龙汤,《伤寒论》,麻黄去节，三两（9g） 芍药三两（9g） 细辛三两（3g） 干姜三两（6g） 甘草炙，三两（6g） 桂枝去皮，三两（9g） 五味子半升（9g） 半夏洗，半升（9g）,上八味，以水一斗，先煮麻黄，减二升，去上沫，内诸药，煮取三升，去滓，温服一升（现代用法：水煎服）。,解表散寒，温肺化饮。,外寒内饮证。恶寒发热，头身疼痛，无汗，喘咳，痰涎清稀而量多，胸痞，或干呕，或痰饮喘咳，不得平卧，或身体疼重，头面四肢浮肿，舌苔白滑，脉浮。,方以辛温之麻黄、桂枝相须为君，发汗解表，且麻黄兼能开宣肺气以解喘咳之证，桂枝化气行水以利内饮之化。臣用辛热之干姜、辛温之细辛，温肺化饮，兼协麻黄、桂枝解表祛邪。佐用辛苦而温之半夏，燥湿化痰，和胃降逆。然素有痰饮，脾肺本虚，纯用辛温，恐辛散耗气，温燥伤津，故伍酸甘之五味子敛肺止咳、芍药和营养血，二药与辛散之品相配，既令散中有收，以利肺气开阖，增强止咳平喘之功，又可防诸辛散温燥之药耗气伤津之虞，亦为佐药。炙甘草益气和中，兼调和辛散酸收之性……,辛散与酸收相配，散中有收；温化与敛肺相伍，开中有合。,,P.31,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.85；书内索引页码 P.31,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,小青龙汤,P.85,P.31,PDF页码+书内索引页码,索引页码定位,D1_formula_snippets\005_小青龙汤.txt
6,P0,第1章 解表剂,止嗽散,《医学心悟》,桔梗炒 荆芥 紫菀蒸 百部蒸 白前蒸，各二斤（各12g） 甘草炒，十二两（4g） 陈皮水洗，去白，一斤（6g）,上为末。每服三钱（9g），开水调下，食后临卧服。初感风寒，生姜汤调下（现代用法：作汤剂，水煎服）。,宣利肺气，疏风止咳。,风邪犯肺之咳嗽证。咳嗽咽痒，咯痰不爽，或微恶风发热，舌苔薄白，脉浮缓。,方中紫菀、百部甘苦而微温，专入肺经，为止咳化痰要药，对于新久咳嗽皆宜，故共用为君。桔梗苦辛而性平，善于宣肺止咳；白前辛苦微温，长于降气化痰。两者协同，一宣一降，以复肺气之宣降，合君药则止咳化痰之力尤佳，共为臣药。荆芥辛而微温，疏风解表，以祛在表之余邪；陈皮行气化痰，二者共为佐药。甘草合桔梗以利咽止咳，兼能调和诸药，是为佐使之用。诸药配伍，肺气得宣，外邪得散，则咳痰咽痒得瘥。诚如《医学心悟》所谓：“本方温润和平，不寒不热，既无攻击过当之虞……,温润平和，不寒不热；重在治肺，兼解表邪。,,P.33,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.87；书内索引页码 P.33,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,止嗽散,P.87,P.33,PDF页码+书内索引页码,索引页码定位,D1_formula_snippets\006_止嗽散.txt
7,P0,第1章 解表剂,银翘散,《温病条辨》,连翘一两（30g） 银花一两（30g） 苦桔梗六钱（18g） 薄荷六钱（18g） 竹叶四钱（12g） 生甘草五钱（15g） 芥穗四钱（12g） 淡豆豉五钱（15g） 牛蒡子六钱（18g）,上为散。每服六钱（18g），鲜苇根汤煎，香气大出，即取服，勿过煮。肺药取轻清，过煮则味厚入中焦矣。病重者，约二时一服，日三服，夜一服；轻者，三时一服，日二服，夜一服；病不解者，作再服（现代用法：作汤剂，加芦根18g，水煎服）。,辛凉透表，清热解毒。,温病初起。发热，微恶风寒，无汗或有汗不畅，口渴头痛，咽痛咳嗽，舌尖红，苔薄白或薄黄，脉浮数。,方中重用银花、连翘为君，二药气味芳香，既能疏散风热、清热解毒，又可辟秽化浊，在透散卫分表邪的同时，兼顾温热病邪易蕴而成毒及多挟秽浊之气的特点。薄荷、牛蒡子味辛而性凉，功善疏散上焦风热，兼可清利头目，解毒利咽；风温之邪居卫，恐惟用辛凉难开其表，遂入辛而微温之荆芥穗、淡豆豉协君药开皮毛以解表散邪，俱为臣药。芦根、竹叶清热生津；桔梗合牛蒡子宣肃肺气而止咳利咽，同为佐药。生甘草合桔梗利咽止痛，兼可调和药性，是为佐使。是方所用药物均系轻清之品，加……,辛凉与辛温相伍，主以辛凉；疏散与清解相配，疏清兼顾。,每服六钱（18g），鲜苇根汤煎，香气大出，即取服，勿过煮。 方中药物多为芳香轻宣之品，不宜久煎，“过煮则味厚而入中焦矣”。,P.34,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.90；书内索引页码 P.34,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,银翘散,P.90,P.34,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\007_银翘散.txt
8,P0,第1章 解表剂,桑菊饮,《温病条辨》,桑叶二钱五分（7.5g） 菊花一钱（3g） 杏仁二钱（6g） 连翘一钱五分（5g） 薄荷八分（2.5g） 苦桔梗二钱（6g） 生甘草八分（2.5g） 苇根二钱（6g）,水二杯，煮取一杯，日二服（现代用法：水煎温服）。,疏风清热，宣肺止咳。,风温初起，邪客肺络证。但咳，身热不甚，口微渴，脉浮数。,方中桑叶甘苦性凉，善走肺络，疏散风热，又清宣肺热而止咳嗽；菊花辛甘性寒，疏散风热，又清利头目而肃肺。二药相须，直走上焦，协同为用，以疏散肺中风热见长，共为君药。杏仁苦降，肃降肺气；桔梗辛散，开宣肺气，相须为用，一宣一降，以复肺之宣降功能而止咳，共为臣药。薄荷辛凉解表，助君药疏散风热之力；连翘透邪解毒；芦根清热生津，共为佐药。甘草调和诸药为使。诸药相伍，使上焦风热得以疏散，肺气得以宣降，则表证解，咳嗽止。,轻清疏风以解表，辛苦宣肃以止咳。,,P.35,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.92；书内索引页码 P.35,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,桑菊饮,P.92,P.35,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\008_桑菊饮.txt
9,P0,第1章 解表剂,败毒散,《太平惠民和剂局方》,柴胡去苗 甘草 桔梗 人参去芦 川芎 茯苓去皮 枳壳去瓤，麸炒 前胡去苗，洗 羌活去苗 独活去苗，各三十两（各9g）,为粗末。每服二钱（6g），水一盏，入生姜、薄荷各少许，同煎七分，去滓，不拘时候，寒多则热服，热多则温服（现代用法：加生姜3g，薄荷2g，水煎服）。,散寒祛湿，益气解表。,气虚外感风寒湿证。憎寒壮热，头项强痛，肢体酸痛，无汗，鼻塞声重，咳嗽有痰，胸膈痞满，舌苔白腻，脉浮而重按无力。,方中羌活、独活并用，祛风散寒，除湿止痛，通治一身上下之风寒湿邪，共为君药。柴胡发散退热，助君解表；川芎行气活血，助君宣痹止痛，俱为臣药。桔梗宣肺，枳壳降气，前胡化痰，茯苓渗湿，升降相合，宽胸利气，化痰止咳，皆为佐药。佐入人参，意在扶助正气以鼓邪外出，并使祛邪不更伤正气，且可防邪复入。如喻昌所论：“……虚弱之体，必用人参三、五、七分，入表药中少助元气，以为祛邪之主，使邪气得药，一涌而出，全非补养虚弱之意也。”（《寓意草》）生姜、薄荷为引……,主辛温以解表，辅宣肃以止咳，佐益气以祛邪。,,P.41,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.101；书内索引页码 P.41,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,败毒散（原名人参败毒散）,P.101,P.41,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\009_败毒散.txt
10,P0,第1章 解表剂,参苏饮,《太平惠民和剂局方》,陈皮去白 枳壳去瓤，麸炒 桔梗去芦 甘草炙 木香各半两（6g） 半夏 紫苏用叶 干葛洗 前胡去苗 人参去芦 茯苓去皮，各三分（各9g）,上 咀。每服四钱（12g），水一盏半，姜七片，枣一个，煎六分，去滓，微热服，不拘时候（现代用法：加生姜7片，大枣1枚，水煎温服）。,益气解表，理气化痰。,气虚外感，内有痰湿证。恶寒发热，无汗，头痛鼻塞，咳嗽痰白，胸脘满闷，倦怠无力，气短懒言，苔白脉弱。,方中苏叶辛温，发散表邪，宣肺宽中，故为君药。臣以葛根助君药发散风寒，解肌舒筋。佐以半夏、前胡、桔梗化痰止咳；陈皮、木香、枳壳理气宽胸；脾为生湿生痰之源，茯苓健脾渗湿以治生痰之源。化痰与理气兼顾，既寓“治痰先治气”之意，又使升降复常，有助于表邪之宣散、肺气之开阖。更佐入人参益气扶正，既助解表，又使表药祛邪不伤正。炙甘草合茯苓、人参益气健脾，兼和诸药，为佐使。煎服时，少加生姜、大枣，可助发表、益脾。诸药相合，共奏益气解表、理气化痰之功。,散补同用，燥行合法，散不伤正，补不留邪，气顺痰消。,,P.42,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.102；书内索引页码 P.42,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,参苏饮,P.102,P.42,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\010_参苏饮.txt
11,P0,第1章 解表剂,葛根汤,《伤寒论》,桂枝去皮，二两（6g） 芍药二两（6g） 生姜切，三两（9g） 甘草炙，二两（6g） 大枣擘，十二枚（6g） 葛根四两（12g）,上六味，以水一斗，先煮葛根，减二升，内诸药，煮取三升，去滓，温服一升。覆取微似汗，不须啜粥，余如桂枝法将息及禁忌。,解肌发表，升津舒筋。,风寒客于太阳经输，营卫不和证。症见桂枝汤证兼项背强而不舒者。,,,,PDF P.78,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.78,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,葛根汤,P.78,,PDF页码,附方段落定位,D1_formula_snippets\011_葛根汤.txt
12,P0,第1章 解表剂,大青龙汤,《伤寒论》,麻黄去节，六两（12g） 桂枝二两（6g） 甘草炙，二两（6g） 杏仁去皮尖，四十粒（6g） 石膏如鸡子大，碎（18g） 生姜三两（9g） 大枣十二枚，擘（6g）,上七味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取三升，去滓，温服一升，取微似汗。汗出多者，温粉扑之。一服汗者，停后服。若复服，汗多亡阳，遂虚，恶风烦躁，不得眠也（现代用法：水煎温服，取微汗）。,发汗解表，兼清里热。,1.外感风寒，内有郁热证。恶寒发热，头身疼痛，不汗出而烦躁，脉浮紧。2.溢饮。身体疼重，或四肢浮肿，恶寒身热，无汗，烦躁，脉浮紧。,方中麻黄为君，发汗解表、宣肺平喘、利水消肿，其量为麻黄汤之倍，则开泄腠理，发汗散寒之力尤峻。桂枝辛温，解肌发汗，助麻黄解表而和营卫；石膏辛甘而寒，清里热并透郁热，二者同为臣药。麻黄得石膏，辛温发表而无助热之弊；石膏得麻黄，大寒清热而无凉遏之虞。杏仁降利肺气，与麻黄相合，宣降肺气，以适肺性；生姜、大枣合用则和脾胃、调营卫，兼助解表、益汗源，共为佐药。甘草益气和中，既缓辛温峻散之力，又调和诸药，且防石膏寒凉伤中，为佐使药。诸药同用，发汗散寒……,寒温并用，表里同治，重在辛温发汗。,表虚者，不可用，故原书强调：“若脉微弱，汗出恶风者，不可服。 ”本方发汗之功居解表诸方之冠，故“一服得汗者，停后服”，以防过剂,P.25,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.76；书内索引页码 P.25,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,大青龙汤,P.76,P.25,PDF页码+书内索引页码,索引页码定位,D1_formula_snippets\012_大青龙汤.txt
13,P0,第2章 泻下剂,大承气汤,《伤寒论》,大黄酒洗，四两（12g） 厚朴去皮，炙，半斤（24g） 枳实炙，五枚（12g） 芒硝三合（9g）,上四味，以水一斗，先煮二物，取五升，去滓，内大黄，更煮取二升，去滓，内芒硝，更上微火一两沸，分温再服，得下，余勿服（现代用法：水煎服。先煎枳实、厚朴，后下大黄，溶服芒硝）。,峻下热结。,1.阳明腑实证。大便不通，频转矢气，脘腹痞满，腹痛拒按，按之硬，甚或潮热谵语，手足濈然汗出，舌苔黄燥起刺，或焦黑燥裂，脉沉实。2.热结旁流证。下利清水，色纯青，其气臭秽，脐腹疼痛，按之坚硬有块，口舌干燥，脉滑实。3.里实热证而见热厥、痉病、发狂者。,方中大黄苦寒泻热，攻积通便，荡涤肠胃邪热积滞，用为君药。芒硝咸苦而寒，泻热通便，润燥软坚，协大黄则峻下热结之力尤增，以为臣药。芒硝、大黄合用，既可苦寒泻下，又能软坚润燥，泻热推荡之力颇峻。积滞内阻，致使腑气不通，则内结之实热积滞，恐难速下，故本方重用厚朴亦为君药，行气消胀除满。即柯琴《伤寒来苏集》所谓：“由于气之不顺，故攻积之剂必用行气之药以主之……厚朴倍大黄，是气药为君，名大承气。”臣以枳实下气开痞散结，助厚朴行气而除痞满。二者与大黄……,苦辛通降与咸寒合法，泻下与行气并重，相辅相成。,上四味，以水一斗，先煮二物，取五升，去滓，内大黄，更煮取二升，去滓，内芒硝，更上微火一两沸，分温再服，得下，余勿服（现代用法：水煎服。 ”本方药力峻猛，应中病即止，慎勿过剂。,P.47,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.111；书内索引页码 P.47,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,大承气汤,P.111,P.47,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\013_大承气汤.txt
14,P0,第2章 泻下剂,小承气汤,《伤寒论》,大黄酒洗，四两（12g） 厚朴去皮，炙，二两（6g） 枳实炙，大者三枚 （9g）,以水四升，煮取一升二合，去滓，分温二服。初服汤，当更衣，不尔者，尽饮之。若更衣者，勿服之。,轻下热结。,阳明腑实证。症见谵语，便秘，潮热，胸腹痞满，舌苔老黄，脉滑而疾；或痢疾初起，腹中胀痛，里急后重等。,,,,P.48,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.111；书内索引页码 P.48,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,小承气汤,P.111,P.48,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets\014_小承气汤.txt
15,P0,第2章 泻下剂,调胃承气汤,《伤寒论》,大黄去皮，清酒洗，四两（12g） 甘草炙，二两（6g） 芒硝半升（12g）,以水三升，煮二物至一升，去滓，内芒硝，更上微火一二沸，温顿服之，以调胃气。,缓下热结。,阳明病，胃肠燥热证。症见大便不通，口渴心烦，蒸蒸发热，或腹中胀满，舌苔黄，脉滑数；以及胃肠热盛而致发斑吐衄，口齿咽喉肿痛等。,,,,P.48,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.111；书内索引页码 P.48,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,调胃承气汤,P.111,P.48,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets\015_调胃承气汤.txt
16,P0,第2章 泻下剂,温脾汤,《备急千金要方》卷十三,当归 干姜各三两（各9g） 附子 人参 芒硝各二两（各6g） 大黄五两（15g） 甘草二两（6g）,上七味， 咀，以水七升，煮取三升，分服，日三（现代用法：水煎服，后下大黄）。,攻下冷积，温补脾阳。,阳虚冷积证。便秘腹痛，脐周绞痛，手足不温，苔白不渴，脉沉弦而迟。,方中附子大辛大热，温脾阳以散寒凝；大黄苦寒沉降，荡涤泻下而除积滞，二药相配，温下以攻逐寒积，共为君药。芒硝软坚，助大黄泻下攻积；干姜温中助阳，增附子祛寒温阳之力，均为臣药。脾阳虚弱，脾气亦惫，运化无力，故佐入人参、甘草补益脾气，且二者与附子、干姜相伍，有阳虚先益气之意。甘草尚能调药和中，又兼使药之能。当归为佐，养血润燥，既润肠以资泻下，又使泻下而不伤正。,辛热甘温咸寒合法，寓补于攻，温下相成。,,P.51；P.52,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.118；书内索引页码 P.51；P.52,同名/多出处需复核,方名索引存在多个页码/同名方，已抽取首个正文定位，需人工确认版本。；教材正文未抽到明确注意/禁忌句，需人工补核。,温脾汤,P.118,P.51；P.52,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\016_温脾汤.txt
17,P0,第2章 泻下剂,十枣汤,《伤寒论》,芫花熬 甘遂 大戟各等分,三味等分，各别捣为散。以水一升半，先煮大枣肥者十枚，取八合去滓，内药末。强人服一钱匕（2g），羸人服半钱（1g），温服之，平旦服。若下少病不除者，明日更服，加半钱。得快下利后，糜粥自养（现代用法：三药研细末，或装入胶囊，每次服0.5～1g，每日1次，以大枣10枚煎汤送服，清晨空腹服，得快下利后，糜粥自养）。,攻逐水饮。,1.悬饮。咳唾胸胁引痛，心下痞硬，干呕短气，头痛目眩，或胸背掣痛不得息，舌苔白滑，脉沉弦。2.水肿。一身悉肿，尤以身半以下为重，腹胀喘满，二便不利，脉沉实。,方中甘遂苦寒有毒，善行经隧之水湿；大戟苦寒，善泻脏腑之水邪；芫花辛温，善消胸胁伏饮痰癖。三药峻烈，各有所长，合而用之，峻泻攻逐，可使胸腹积水迅速逐出体外，共为君药。大枣煎汤送服，取其益脾缓中，防止逐水伤及脾胃，并缓和诸药毒性，使邪去而不伤正，且寓培土制水之意，用为佐使。《医方集解》载：“芫花、大戟性辛苦以逐水饮；甘遂苦寒，能直达水气所结之处，以攻决为用；三药过峻，故用大枣之甘以缓也，益土所以胜水，使邪从二便而出也。”,主以峻下逐水，佐以甘缓补中。,因其逐水之力峻猛，只宜暂用，不可久服； 孕妇忌服。,P.56,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.127；书内索引页码 P.56,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,十枣汤,P.127,P.56,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\017_十枣汤.txt
18,P0,第3章 和解剂,小柴胡汤,《伤寒论》,柴胡半斤（24g） 黄芩三两（9g） 人参三两（9g ） 甘草炙，三两（9g） 半夏洗，半升（9g） 生姜切，三两（9g） 大枣擘，十二枚（4枚）,上七味，以水一斗二升，煮取六升，去滓，再煎，取三升，温服一升，日三服（现代用法：水煎服）。,和解少阳。,1.伤寒少阳证。往来寒热，胸胁苦满，默默不欲饮食，心烦喜呕，口苦，咽干，目眩，舌苔薄白，脉弦。2.妇人中风，热入血室。经水适断，寒热发作有时。3.疟疾、黄疸等病而见少阳证者。,方中柴胡苦平，入肝胆经，透泄少阳之邪，并能疏泄气机之郁滞，使少阳之邪得以疏散，为君药。黄芩苦寒，清泄少阳之热，为臣药。柴胡、黄芩相配伍，一散一清，恰入少阳，以解少阳之邪。胆气犯胃，胃失和降，佐以半夏、生姜和胃降逆止呕。邪从太阳传入少阳，缘于正气本虚，故又佐以人参、大枣益气补脾，一者取其扶正以祛邪，一者取其益气以御邪内传，俾正气旺盛，则邪无内向之机；参、枣与夏、姜相伍，以利中州气机之升降。炙甘草助参、枣扶正，且能调和诸药，用为佐使药。诸药……,透散清泄以和解，升清降浊兼扶正。,,P.62,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.136；书内索引页码 P.62,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,小柴胡汤,P.136,P.62,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\018_小柴胡汤.txt
